model,legacy_field,current_label,current_type,referenced_views,runtime_reachable,has_actual_values,affects_formal_business,candidate_formal_meaning,existing_formal_candidates,industry_common,tenant_specific,audit_only,decision,business_confirmation_question,safe_temporary_handling,evidence
sc.fund.account,p1_visible_d8347d8e9fac,账号户名,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:sc.fund.account.p1_visible_d8347d8e9fac;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
sc.fund.account,p1_visible_ef38c6c5245f,账户操作,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:sc.fund.account.p1_visible_ef38c6c5245f;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
sc.receipt.income,p1_visible_0d8979d08c09,累计开票金额,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:sc.receipt.income.p1_visible_0d8979d08c09;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
sc.receipt.income,p1_visible_389372a58a16,期数,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:sc.receipt.income.p1_visible_389372a58a16;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
sc.receipt.income,p1_visible_689407e406ab,目前形象进度,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:sc.receipt.income.p1_visible_689407e406ab;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
sc.receipt.income,p1_visible_aa6152009ab0,上期留存余额,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:sc.receipt.income.p1_visible_aa6152009ab0;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
sc.tax.deduction.registration,p1_visible_3d0afdf3736d,发票类型,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:sc.tax.deduction.registration.p1_visible_3d0afdf3736d;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
sc.tax.deduction.registration,p1_visible_b9ae89319036,数量,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:sc.tax.deduction.registration.p1_visible_b9ae89319036;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
tender.bid,p1_visible_3e5fd432c9df,收款账号,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:tender.bid.p1_visible_3e5fd432c9df;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
tender.bid,p1_visible_48a64eb40c71,开户行,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:tender.bid.p1_visible_48a64eb40c71;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
tender.bid,p1_visible_bb7c7aeff3e4,收款人,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:tender.bid.p1_visible_bb7c7aeff3e4;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
tender.bid,p1_visible_c6b9a8cfdb21,付款方式,char,true,true,true,false,,,UNPROVEN,UNPROVEN,true,D_AUDIT_METADATA_ONLY,Resolve in private user-data mapping only if source data must be retained.,UNPUBLISH_FROM_PRODUCT_UI,runtime:tender.bid.p1_visible_c6b9a8cfdb21;global_ir_model_fields;dynamic_get_view_injection;formal_runtime_field_unresolved
