model,legacy_field,source_kind,formal_field,resolution,destructive_business_data_change,status
construction.contract,p1_visible_06fa8c6f628f,RESIDUAL_DATABASE_VIEW,state,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_0965a7d1e74c,RESIDUAL_DATABASE_VIEW,engineering_category_text,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_0cf26c325f34,RESIDUAL_DATABASE_VIEW,engineering_address,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_17b341733b7b,RESIDUAL_DATABASE_VIEW,name,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_202b429f79ca,RESIDUAL_DATABASE_VIEW,archived,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_2585b4ab16bd,RESIDUAL_DATABASE_VIEW,date_contract,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_3e7255522b33,RESIDUAL_DATABASE_VIEW,project_id,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_3ec01dd569e2,RESIDUAL_DATABASE_VIEW,name,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_5839c15a34a4,RESIDUAL_DATABASE_VIEW,affiliated_person,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_58a2eb3301c1,RESIDUAL_DATABASE_VIEW,amount_total,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_75b438b16f10,RESIDUAL_DATABASE_VIEW,visible_unreceived_amount,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_75e856a13c7c,RESIDUAL_DATABASE_VIEW,amount_total,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_7b9f4bb3e3ea,RESIDUAL_DATABASE_VIEW,engineering_content,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_8fa8662ad38f,RESIDUAL_DATABASE_VIEW,name,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_99f6fe6c41ad,RESIDUAL_DATABASE_VIEW,attachment_ids;message_attachment_count,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_affba7961481,RESIDUAL_DATABASE_VIEW,visible_invoice_amount,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_bf0c9e684289,RESIDUAL_DATABASE_VIEW,visible_unreceived_rate,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_da9d3c637407,RESIDUAL_DATABASE_VIEW,visible_received_amount,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_dfc25d77dc39,RESIDUAL_DATABASE_VIEW,source_created_at,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_ee6a4d9e2956,RESIDUAL_DATABASE_VIEW,source_created_by,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
construction.contract,p1_visible_fadf1135d6a4,RESIDUAL_DATABASE_VIEW,partner_id,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
payment.request,p1_visible_06fa8c6f628f,RESIDUAL_DATABASE_VIEW,document_status_display;state,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
payment.request,p1_visible_1874b0ce5103,RESIDUAL_DATABASE_VIEW,related_document_text;settlement_id;line_settlement_summary;material_settlement_id;contract_id,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
payment.request,p1_visible_2c346345746e,RESIDUAL_DATABASE_VIEW,date_request;create_date,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
payment.request,p1_visible_34943c40c9af,RESIDUAL_DATABASE_VIEW,amount,REMOVE_VIEW_REFERENCE_DURING_PRODUCT_UPGRADE,false,MIGRATION_17.0.0.76
