old_model,old_table,old_column,old_type,old_constraints_index,actual_value_count,company_ownership_evidence,tenant_ownership_evidence,target_extension_definition,target_typed_storage,value_conversion,currency_handling,relation_handling,null_zero_false_handling,duplicate_handling,verification_checksum_strategy,read_compatibility_strategy,write_strategy_during_transition,rollback_strategy,old_column_removal_prerequisite,business_confirmation_required,migration_status,blocker,evidence
construction.contract.expense,construction_contract_expense,x_custom_field,date,NONE,0,NONE,NONE,UNASSIGNED,date_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_CONFIRMATION_AND_ZERO_DEPENDENCIES,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
construction.contract.income,construction_contract_income,x_custom_field,char,NONE,0,NONE,NONE,UNASSIGNED,char_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_CONFIRMATION_AND_ZERO_DEPENDENCIES,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
construction.contract.income,construction_contract_income,x_custom_field_2,float,NONE,0,NONE,NONE,UNASSIGNED,float_value,EXACT_DECIMAL_VALIDATION,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_NULL_ZERO_NEGATIVE,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_TYPE_PRECISION_CONFIRMATION,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_AND_PRECISION_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
construction.contract.income,construction_contract_income,x_custom_field_3,char,NONE,0,NONE,NONE,UNASSIGNED,char_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_CONFIRMATION_AND_ZERO_DEPENDENCIES,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
construction.contract.income,construction_contract_income,x_custom_field_4,char,NONE,0,NONE,NONE,UNASSIGNED,char_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_CONFIRMATION_AND_ZERO_DEPENDENCIES,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
construction.contract.income,construction_contract_income,x_custom_field_5,date,NONE,0,NONE,NONE,UNASSIGNED,date_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_CONFIRMATION_AND_ZERO_DEPENDENCIES,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
project.project,project_project,x_custom_field,date,NONE,0,NONE,NONE,UNASSIGNED,date_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_CONFIRMATION_AND_ZERO_DEPENDENCIES,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
res.partner,res_partner,x_custom_field,char,NONE,1,NONE,NONE,UNASSIGNED,char_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,CONFIRMED_OWNER_AND_PRIVATE_MAPPING_PACKAGE,true,BLOCKED_UNSAFE_TO_MIGRATE,NONEMPTY_VALUE_OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
sc.general.contract,sc_general_contract,x_custom_field,char,NONE,0,NONE,NONE,UNASSIGNED,char_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_CONFIRMATION_AND_ZERO_DEPENDENCIES,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
sc.general.contract,sc_general_contract,x_custom_field_2,char,NONE,0,NONE,NONE,UNASSIGNED,char_value,IDENTITY,NOT_APPLICABLE,NOT_APPLICABLE,PRESERVE_DISTINCT_VALUES,UPSERT_BY_DEFINITION_RECORD,SHA256_CANONICAL_TYPED_ROWS,OLD_COLUMN_REMAINS_READABLE,NO_NEW_WRITES_TO_OLD_COLUMN,ROLLBACK_NEW_DEFINITION_AND_VALUES,OWNER_CONFIRMATION_AND_ZERO_DEPENDENCIES,true,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,OWNER_UNCONFIRMED,FIELD_ARCH_P0_01_RUNTIME_INVENTORY
