data_type,storage,null_semantics,validation,isolation_test,result
char,char_value,null_distinct_from_empty,string_only_contract,test_cross_company_values_and_exports_fail_closed,PASS
text,text_value,null_distinct_from_empty,string_only_contract,typed_service_shared_boundary,PASS
boolean,boolean_is_set_and_boolean_value,false_distinct_from_unset,boolean_only,test_typed_values_preserve_null_false_zero_negative_and_precision,PASS
integer,integer_value,zero_distinct_from_unset,integer_not_boolean,test_typed_values_preserve_null_false_zero_negative_and_precision,PASS
float,float_value,zero_and_negative_preserved,precision_and_scale,test_typed_values_preserve_null_false_zero_negative_and_precision,PASS
monetary,monetary_value_and_currency_id,zero_and_negative_preserved,precision_scale_and_currency,test_monetary_selection_and_relation_semantics,PASS
date,date_value,null_distinct_from_value,Odoo_date_parser,typed_service_shared_boundary,PASS
datetime,datetime_value,null_distinct_from_value,Odoo_datetime_parser,typed_service_shared_boundary,PASS
selection,selection_value,null_distinct_from_value,stable_allowed_keys,test_monetary_selection_and_relation_semantics,PASS
many2one,relation_model_and_relation_record_id,null_distinct_from_value,target_model_access_and_company,test_monetary_selection_and_relation_semantics,PASS
