database_table,model,column_name,field_description,field_type,sql_type,nullable,default,index,constraint,relation_model,currency_field,source_declaration,global_metadata,created_by_install_or_runtime,source_system,source_batch,tenant_database_ownership,company_ownership,nonempty_record_count,distinct_company_count,used_in_views,used_in_list_contracts,used_in_forms,used_in_search,used_in_sort,used_in_filter,used_in_group,used_in_export,used_in_approval,used_in_compute,used_in_reporting,proposed_extension_type,proposed_owner,proposed_migration_action,evidence,risk,status
construction_contract_expense,construction.contract.expense,x_custom_field,REDACTED_LEGACY_LABEL,date,date,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,date,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
construction_contract_income,construction.contract.income,x_custom_field,REDACTED_LEGACY_LABEL,char,varchar,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,char,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
construction_contract_income,construction.contract.income,x_custom_field_2,REDACTED_LEGACY_LABEL,float,double precision,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,float,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
construction_contract_income,construction.contract.income,x_custom_field_3,REDACTED_LEGACY_LABEL,char,varchar,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,char,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
construction_contract_income,construction.contract.income,x_custom_field_4,REDACTED_LEGACY_LABEL,char,varchar,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,char,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
construction_contract_income,construction.contract.income,x_custom_field_5,REDACTED_LEGACY_LABEL,date,date,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,date,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
project_project,project.project,x_custom_field,REDACTED_LEGACY_LABEL,date,date,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,date,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
res_partner,res.partner,x_custom_field,REDACTED_LEGACY_LABEL,char,varchar,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,1,UNKNOWN,false,false,false,false,false,false,false,false,false,false,false,char,UNCONFIRMED,BLOCKED_UNSAFE_TO_MIGRATE,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,CRITICAL_NONEMPTY_GLOBAL_COLUMN_NO_OWNER,INVENTORIED
sc_general_contract,sc.general.contract,x_custom_field,REDACTED_LEGACY_LABEL,char,varchar,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,char,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
sc_general_contract,sc.general.contract,x_custom_field_2,REDACTED_LEGACY_LABEL,char,varchar,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,char,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
sc_general_contract,sc.general.contract,x_custom_field_3,REDACTED_LEGACY_LABEL,char,varchar,true,NONE,false,NONE,NONE,NONE,NONE,true,RUNTIME_MANUAL,UNKNOWN,UNKNOWN,UNCONFIRMED,UNCONFIRMED,0,0,false,false,false,false,false,false,false,false,false,false,false,char,UNCONFIRMED,DEPRECATE_AFTER_COMPATIBILITY_WINDOW,FIELD_ARCH_P0_01_RUNTIME_INVENTORY,HIGH_GLOBAL_SCHEMA_NO_OWNER,INVENTORIED
