database_table,column_name,database_view_references,odoo_view_references,business_logic_references,external_contract_references,module_recreation_sources,index_references,constraint_references,trigger_references
construction_contract_expense,x_custom_field,0,0,0,0,0,0,0,0
construction_contract_income,x_custom_field,0,0,0,0,0,0,0,0
construction_contract_income,x_custom_field_2,0,0,0,0,0,0,0,0
construction_contract_income,x_custom_field_3,0,0,0,0,0,0,0,0
construction_contract_income,x_custom_field_4,0,0,0,0,0,0,0,0
construction_contract_income,x_custom_field_5,0,0,0,0,0,0,0,0
project_project,x_custom_field,0,0,0,0,0,0,0,0
res_partner,x_custom_field,0,0,0,0,0,0,0,0
sc_general_contract,x_custom_field,0,0,0,0,0,0,0,0
sc_general_contract,x_custom_field_2,0,0,0,0,0,0,0,0
sc_general_contract,x_custom_field_3,0,0,0,0,0,0,0,0
