database_table,model,column_name,legacy_label_class,sql_type,effective_value_count,formal_product_counterpart,classification,selected_disposition,evidence
construction_contract_expense,construction.contract.expense,x_custom_field,BUSINESS_LABEL_DOCUMENT_DATE,date,0,construction.contract.date_contract,REDUNDANT_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY_AND_SOURCE_MODEL
construction_contract_income,construction.contract.income,x_custom_field,BUSINESS_LABEL_CONTRACT_AMOUNT,varchar,0,construction.contract.amount_untaxed/amount_total,REDUNDANT_WRONG_TYPE_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY_AND_SOURCE_MODEL
construction_contract_income,construction.contract.income,x_custom_field_2,BUSINESS_LABEL_CONTRACT_AMOUNT,double precision,0,construction.contract.amount_untaxed/amount_total,REDUNDANT_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY_AND_SOURCE_MODEL
construction_contract_income,construction.contract.income,x_custom_field_3,BUSINESS_LABEL_START_DATE,varchar,0,construction.contract.date_start,REDUNDANT_WRONG_TYPE_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY_AND_SOURCE_MODEL
construction_contract_income,construction.contract.income,x_custom_field_4,BUSINESS_LABEL_CONTRACTOR,varchar,0,construction.contract.partner_id,REDUNDANT_WRONG_TYPE_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY_AND_SOURCE_MODEL
construction_contract_income,construction.contract.income,x_custom_field_5,BUSINESS_LABEL_COMPLETION_DATE,date,0,construction.contract.date_end,REDUNDANT_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY_AND_SOURCE_MODEL
project_project,project.project,x_custom_field,BUSINESS_LABEL_DOCUMENT_DATE,date,0,project.project.initiation_date,REDUNDANT_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY_AND_SOURCE_MODEL
res_partner,res.partner,x_custom_field,TEST_CONFIGURATION_LABEL,varchar,1,NONE,TEST_ARTIFACT_WITH_ONE_VALUE,ARCHIVE_AS_UNRESOLVED_AUDIT_VALUE_THEN_CONTROLLED_DROP,P0_01_INVENTORY_AND_ISOLATED_REHEARSAL
sc_general_contract,sc.general.contract,x_custom_field,PERSON_NAME_STYLE_TEST_LABEL,varchar,0,NONE,TEST_ARTIFACT_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY
sc_general_contract,sc.general.contract,x_custom_field_2,PERSON_NAME_STYLE_TEST_LABEL_WITH_SUFFIX,varchar,0,NONE,TEST_ARTIFACT_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY
sc_general_contract,sc.general.contract,x_custom_field_3,TEST_FIELD_LABEL,varchar,0,NONE,TEST_ARTIFACT_EMPTY_COLUMN,CONTROLLED_DROP,P0_01_INVENTORY
