path,module,record_or_resource,classification,allowed_environment,install_trigger,idempotent,uninstall_policy,customer_specific,contains_personal_data,decision
.devcontainer/Dockerfile,,Dockerfile,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.devcontainer/Dockerfile.dev,,Dockerfile,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.devcontainer/devcontainer.json,,devcontainer,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.devcontainer/docker-compose.devcontainer.yml,,docker-compose.devcontainer,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.github/ISSUE_TEMPLATE/config.yml,,config,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.github/workflows/demo-ci.yml,,demo-ci,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.github/workflows/frontend_release_evidence_bundle.yml,,frontend_release_evidence_bundle,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.github/workflows/frontend_release_gate.yml,,frontend_release_gate,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.github/workflows/infra-stage-gate.yml,,infra-stage-gate,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.github/workflows/professional_quality_gate.yml,,professional_quality_gate,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.github/workflows/public_guard.yml,,public_guard,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
.github/workflows/sc_smoke.yml,,sc_smoke,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
Dockerfile,,Dockerfile,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
Dockerfile.production-candidate,,Dockerfile,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
Dockerfile.production-frontend-builder,,Dockerfile,PRODUCT_REQUIRED,"production,demo,acceptance,customer",build_release_or_ci_configuration,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
Makefile,,Makefile,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/docs/contract/snapshots/scenes/scenes.v0_9_8.json,docs,scenes.v0_9_8,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/sc_norm_engine/__manifest__.py,sc_norm_engine,module_manifest,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/sc_norm_engine/security/ir.model.access.csv,sc_norm_engine,ir.model.access,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/sc_norm_engine/views/norm_import_views.xml,sc_norm_engine,norm_import_views,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/sc_norm_engine/views/norm_menu.xml,sc_norm_engine,norm_menu,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/sc_norm_engine/views/norm_views.xml,sc_norm_engine,norm_views,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_acceptance_fixture/__manifest__.py,smart_construction_acceptance_fixture,module_manifest,TEST_FIXTURE_ONLY,"acceptance,test",module_manifest,required,destroy_dedicated_acceptance_database,false,false,KEEP_OUT_OF_PRODUCTION_INSTALL_SET
addons/smart_construction_bootstrap/__manifest__.py,smart_construction_bootstrap,module_manifest,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_bootstrap/data/baseline_currency.xml,smart_construction_bootstrap,baseline_currency,PRODUCT_REFERENCE_SEED,"production,demo,acceptance,customer",module_manifest_data,required,preserve_user_modified_reference_values,false,false,KEEP_AS_DOCUMENTED_PRODUCT_REFERENCE_BASELINE
addons/smart_construction_bootstrap/data/baseline_preferences.xml,smart_construction_bootstrap,baseline_preferences,PRODUCT_REFERENCE_SEED,"production,demo,acceptance,customer",module_manifest_data,required,preserve_user_modified_reference_values,false,false,KEEP_AS_DOCUMENTED_PRODUCT_REFERENCE_BASELINE
addons/smart_construction_bootstrap/hooks.py,smart_construction_bootstrap,module_install_hook,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_install_hook,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_bundle/__manifest__.py,smart_construction_bundle,module_manifest,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_bundle/data/construction_bundle_product_profile.xml,smart_construction_bundle,construction_bundle_product_profile,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_bundle/data/product_delivery_extension_modules.xml,smart_construction_bundle,product_delivery_extension_modules,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_bundle/hooks.py,smart_construction_bundle,module_install_hook,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_install_hook,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/__manifest__.py,smart_construction_core,module_manifest,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/actions/execution_structure_actions.xml,smart_construction_core,execution_structure_actions,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/actions/execution_structure_actions_base.xml,smart_construction_core,execution_structure_actions_base,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/actions/finance_actions.xml,smart_construction_core,finance_actions,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/actions/project_actions.xml,smart_construction_core,project_actions,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/actions/project_actions_views.xml,smart_construction_core,project_actions_views,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/actions/project_list_actions.xml,smart_construction_core,project_list_actions,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/actions/project_native_action_overrides.xml,smart_construction_core,project_native_action_overrides,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/actions/project_structure_actions.xml,smart_construction_core,project_structure_actions,PRODUCT_REQUIRED,"production,demo,acceptance,customer",explicit_tool_or_module_execution,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/approval_policy_seed.xml,smart_construction_core,approval_policy_seed,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/approval_policy_tier_sync.xml,smart_construction_core,approval_policy_tier_sync,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/approval_scope_seed.xml,smart_construction_core,approval_scope_seed,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/business_category_seed.xml,smart_construction_core,business_category_seed,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/business_category_template_binding_sync.xml,smart_construction_core,business_category_template_binding_sync,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/construction_plan_form_productization_contract.xml,smart_construction_core,construction_plan_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/contract_tier_actions.xml,smart_construction_core,contract_tier_actions,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/cron_signup_throttle_gc.xml,smart_construction_core,cron_signup_throttle_gc,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/currency_defaults.xml,smart_construction_core,currency_defaults,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/document_admin_form_productization_contract.xml,smart_construction_core,document_admin_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/equipment_request_settlement_form_productization_contract.xml,smart_construction_core,equipment_request_settlement_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/equipment_usage_form_productization_contract.xml,smart_construction_core,equipment_usage_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/expense_claim_category_migration.xml,smart_construction_core,expense_claim_category_migration,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/expense_claim_form_productization_contract.xml,smart_construction_core,expense_claim_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/expense_claim_tier_actions.xml,smart_construction_core,expense_claim_tier_actions,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/expense_contract_category_data.xml,smart_construction_core,expense_contract_category_data,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/finance_document_tier_actions.xml,smart_construction_core,finance_document_tier_actions,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/financing_loan_form_productization_contract.xml,smart_construction_core,financing_loan_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/formal_list_contract_sync.xml,smart_construction_core,formal_list_contract_sync,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/general_contract_tax_sync.xml,smart_construction_core,general_contract_tax_sync,PRODUCT_REFERENCE_SEED,"production,demo,acceptance,customer",module_manifest_data,required,preserve_user_modified_reference_values,false,false,KEEP_AS_DOCUMENTED_PRODUCT_REFERENCE_BASELINE
addons/smart_construction_core/data/hr_payroll_form_productization_contract.xml,smart_construction_core,hr_payroll_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/invoice_input_form_productization_contract.xml,smart_construction_core,invoice_input_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/invoice_output_tax_form_productization_contract.xml,smart_construction_core,invoice_output_tax_form_productization_contract,PRODUCT_REFERENCE_SEED,"production,demo,acceptance,customer",module_manifest_data,required,preserve_user_modified_reference_values,false,false,KEEP_AS_DOCUMENTED_PRODUCT_REFERENCE_BASELINE
addons/smart_construction_core/data/labor_equipment_plan_attendance_form_productization_contract.xml,smart_construction_core,labor_equipment_plan_attendance_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/labor_request_settlement_form_productization_contract.xml,smart_construction_core,labor_request_settlement_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
addons/smart_construction_core/data/labor_usage_form_productization_contract.xml,smart_construction_core,labor_usage_form_productization_contract,PRODUCT_REQUIRED,"production,demo,acceptance,customer",module_manifest_data,required,module_owned_records_only,false,false,KEEP_AS_PRODUCT_OR_DELIVERY_CONFIGURATION
