path,formal_product_layer,batches,verification,rollback
"scripts/dev/frontend_acceptance_baseline_rebuild.sh","P4","acceptance-baseline-recovery","non-zero contract tests + governed audit/dry-run; destructive apply separately authorized","remove the P4 recovery implementation commit"
"scripts/verify/test_frontend_acceptance_baseline_rebuild.py","P4","acceptance-baseline-recovery","registered P4 unit target; 29 combined non-zero tests","remove the P4 recovery implementation commit"
"scripts/dev/frontend_acceptance_runtime.sh","P4","acceptance-baseline-recovery","runtime profile tests + governed audit/dry-run","revert the P4 recovery implementation commit"
"make/dev.mk","P4","acceptance-baseline-recovery","Make target routing contract + governed audit/dry-run","revert the P4 recovery implementation commit"
"docs/ops/environment_tiers_unified_runbook_v1.md","P4","acceptance-baseline-recovery","documentation review + registered target parity","revert the P4 recovery documentation commit"
"docs/ops/iterations/frontend_acceptance_fixture_namespace_rebuild_design_20260909.md","P4","governance-scope-separation","document review only; implementation and destructive execution not authorized","remove design artifact with the governance separation commit"
"addons/smart_core/app_config_engine/services/assemblers/page_assembler.py","P0","C1-workspace","verify.business_config.unit + real Odoo tagged tests","dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953;d5aa8088f9eb2e535a2895486ba0cc1f41bdf206"
"addons/smart_core/handlers/execute_button.py","P0","config-errors-closure","verify.business_config.unit + real Odoo tagged tests","377ce708b7fe2c5de7e87d57c836601d5e4ff6cf"
"addons/smart_core/tests/test_business_config_contract_schema.py","P4","config-errors-closure","verify.business_config.unit + real Odoo tagged tests","7c7d8cab1b9c345dc8d295395dcf79038823542f"
"addons/smart_core/tests/test_form_field_configuration_params.py","P4","config-errors-closure;independent-review-correction","verify.business_config.unit + real Odoo tagged tests","7c7d8cab1b9c345dc8d295395dcf79038823542f;e3e134c0dd37bbe4bce17e89f376723a9d4a14d7"
"addons/smart_core/tests/test_menu_configuration_audit.py","P4","config-errors-closure","verify.business_config.unit + real Odoo tagged tests","7c7d8cab1b9c345dc8d295395dcf79038823542f"
"addons/smart_core/tests/test_page_assembler_view_orchestration_versions.py","P4","C1-workspace","verify.business_config.unit + real Odoo tagged tests","dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953;d5aa8088f9eb2e535a2895486ba0cc1f41bdf206"
